"age","date","population_thousand","workingpop_thousand","employed_thousand","unemployed_thousand","nonworkingpop_thousand","involvement_rate","unemployment_rate","employment_rate"
"15-19","1999/06/01","3934","430","332","98","3504","10.9","22.8","8.4"
"15-19","1999/07/01","3925","519","396","124","3406","13.2","23.9","10.1"
"15-19","1999/08/01","3912","452","370","82","3460","11.6","18.1","9.5"
"15-19","1999/09/01","3899","430","371","59","3469","11","13.7","9.5"
"15-19","1999/10/01","3885","426","370","56","3459","11","13.1","9.5"
"15-19","1999/11/01","3872","428","369","59","3444","11.1","13.8","9.5"
"15-19","1999/12/01","3859","499","403","95","3360","12.9","19","10.4"
"15-19","2000/01/01","3848","539","433","106","3309","14","19.7","11.3"
"15-19","2000/02/01","3835","504","429","76","3331","13.1","15.1","11.2"
"15-19","2000/03/01","3821","421","355","66","3400","11","15.7","9.3"
"15-19","2000/04/01","3809","408","348","61","3400","10.7","15","9.1"
"15-19","2000/05/01","3796","423","371","53","3373","11.1","12.5","9.8"
"15-19","2000/06/01","3784","409","355","53","3375","10.8","13","9.4"
"15-19","2000/07/01","3768","528","443","85","3241","14","16.1","11.8"
"15-19","2000/08/01","3750","486","419","67","3264","13","13.8","11.2"
"15-19","2000/09/01","3731","413","360","53","3318","11.1","12.8","9.6"
"15-19","2000/10/01","3712","416","371","45","3296","11.2","10.8","10"
"15-19","2000/11/01","3693","429","384","45","3264","11.6","10.5","10.4"
"15-19","2000/12/01","3675","475","396","80","3199","12.9","16.8","10.8"
"15-19","2001/01/01","3654","494","413","81","3160","13.5","16.4","11.3"
"15-19","2001/02/01","3635","448","363","84","3188","12.3","18.8","10"
"15-19","2001/03/01","3617","426","343","83","3191","11.8","19.5","9.5"
"15-19","2001/04/01","3598","417","354","64","3180","11.6","15.3","9.8"
"15-19","2001/05/01","3579","401","352","50","3178","11.2","12.5","9.8"
"15-19","2001/06/01","3561","399","342","57","3162","11.2","14.3","9.6"
"15-19","2001/07/01","3543","485","418","68","3057","13.7","14","11.8"
"15-19","2001/08/01","3524","419","373","45","3105","11.9","10.7","10.6"
"15-19","2001/09/01","3505","360","315","45","3145","10.3","12.5","9"
"15-19","2001/10/01","3486","365","326","39","3121","10.5","10.7","9.4"
"15-19","2001/11/01","3468","378","340","38","3090","10.9","10.1","9.8"
"15-19","2001/12/01","3448","418","353","65","3030","12.1","15.6","10.2"
"15-19","2002/01/01","3431","486","414","72","2945","14.2","14.8","12.1"
"15-19","2002/02/01","3413","430","373","57","2983","12.6","13.3","10.9"
"15-19","2002/03/01","3395","352","303","49","3043","10.4","13.9","8.9"
"15-19","2002/04/01","3377","357","310","46","3020","10.6","12.9","9.2"
"15-19","2002/05/01","3358","346","313","33","3012","10.3","9.5","9.3"
"15-19","2002/06/01","3340","324","289","35","3016","9.7","10.8","8.7"
"15-19","2002/07/01","3324","416","363","53","2909","12.5","12.7","10.9"
"15-19","2002/08/01","3309","375","337","38","2934","11.3","10.1","10.2"
"15-19","2002/09/01","3294","291","265","26","3003","8.8","8.9","8"
"15-19","2002/10/01","3280","287","260","27","2992","8.8","9.4","7.9"
"15-19","2002/11/01","3264","288","255","34","2976","8.8","11.8","7.8"
"15-19","2002/12/01","3249","314","271","43","2935","9.7","13.7","8.3"
"15-19","2003/01/01","3235.8","380.6","329.6","51","2855.2","11.8","13.4","10.2"
"15-19","2003/02/01","3221.5","344.7","302.5","42.2","2876.8","10.7","12.2","9.4"
"15-19","2003/03/01","3207.1","276.4","243","33.4","2930.7","8.6","12.1","7.6"
"15-19","2003/04/01","3193.1","275.1","248.1","27","2918","8.6","9.8","7.8"
"15-19","2003/05/01","3179.3","267","241.9","25.2","2912.2","8.4","9.4","7.6"
"15-19","2003/06/01","3164.9","289.1","245.1","43.9","2875.8","9.1","15.2","7.7"
"15-19","2003/07/01","3153.4","386.5","324.4","62.2","2766.9","12.3","16.1","10.3"
"15-19","2003/08/01","3143.6","339.1","306.4","32.7","2804.5","10.8","9.6","9.7"
"15-19","2003/09/01","3134.1","264.3","237.1","27.3","2869.7","8.4","10.3","7.6"
"15-19","2003/10/01","3124.6","275.9","240.7","35.2","2848.8","8.8","12.8","7.7"
"15-19","2003/11/01","3115","293.2","246.9","46.3","2821.8","9.4","15.8","7.9"
"15-19","2003/12/01","3105.7","354.2","294.9","59.3","2751.5","11.4","16.7","9.5"
"15-19","2004/01/01","3098.7","398.5","331","67.5","2700.3","12.9","16.9","10.7"
"15-19","2004/02/01","3092.8","329.4","280.6","48.8","2763.4","10.7","14.8","9.1"
"15-19","2004/03/01","3086.9","269.5","222.9","46.5","2817.5","8.7","17.3","7.2"
"15-19","2004/04/01","3081","251.1","218.6","32.5","2829.9","8.1","12.9","7.1"
"15-19","2004/05/01","3075.1","264.7","235.6","29.1","2810.4","8.6","11","7.7"
"15-19","2004/06/01","3069.6","282.3","231.2","51.1","2787.2","9.2","18.1","7.5"
"15-19","2004/07/01","3065.4","371","312.2","58.9","2694.4","12.1","15.9","10.2"
"15-19","2004/08/01","3062","289.1","259.9","29.2","2772.9","9.4","10.1","8.5"
"15-19","2004/09/01","3058.5","286.7","263","23.8","2771.8","9.4","8.3","8.6"
"15-19","2004/10/01","3055.1","276","247.4","28.6","2779.1","9","10.4","8.1"
"15-19","2004/11/01","3051.3","266","235.1","30.9","2785.4","8.7","11.6","7.7"
"15-19","2004/12/01","3047.5","321.8","260.1","61.8","2725.7","10.6","19.2","8.5"
"15-19","2005/01/01","3045.4","376.8","302.1","74.7","2668.6","12.4","19.8","9.9"
"15-19","2005/02/01","3045.4","300.4","259.5","40.9","2745.1","9.9","13.6","8.5"
"15-19","2005/03/01","3045.2","262.6","224.3","38.3","2782.6","8.6","14.6","7.4"
"15-19","2005/04/01","3044.9","266.3","238.4","27.9","2778.6","8.7","10.5","7.8"
"15-19","2005/05/01","3044.7","271","243.2","27.8","2773.7","8.9","10.3","8"
"15-19","2005/06/01","3044.6","274.3","234.6","39.7","2770.4","9","14.5","7.7"
"15-19","2005/07/01","3045.2","363.7","310.9","52.8","2681.5","11.9","14.5","10.2"
"15-19","2005/08/01","3045.6","289.1","266.4","22.7","2756.5","9.5","7.9","8.7"
"15-19","2005/09/01","3046","230.7","213.3","17.4","2815.3","7.6","7.5","7"
"15-19","2005/10/01","3046.3","215.7","199.1","16.6","2830.6","7.1","7.7","6.5"
"15-19","2005/11/01","3046.8","215.4","198.6","16.8","2831.4","7.1","7.8","6.5"
"15-19","2005/12/01","3046.9","265.7","225.8","39.9","2781.2","8.7","15","7.4"
"15-19","2006/01/01","3056.9","319.5","280.1","39.5","2737.3","10.5","12.4","9.2"
"15-19","2006/02/01","3066.9","285.8","253.8","32","2781.1","9.3","11.2","8.3"
"15-19","2006/03/01","3077.1","213.1","195.4","17.7","2864","6.9","8.3","6.4"
"15-19","2006/04/01","3087","209.3","194.6","14.7","2877.6","6.8","7","6.3"
"15-19","2006/05/01","3096.9","218","203.9","14","2878.9","7","6.4","6.6"
"15-19","2006/06/01","3106.7","232.6","201.5","31.1","2874.1","7.5","13.4","6.5"
"15-19","2006/07/01","3111.8","307.3","274.7","32.5","2804.5","9.9","10.6","8.8"
"15-19","2006/08/01","3116","234.4","220.8","13.6","2881.6","7.5","5.8","7.1"
"15-19","2006/09/01","3119.8","179.7","164.5","15.3","2940.1","5.8","8.5","5.3"
"15-19","2006/10/01","3123.7","182.3","157.3","24.9","2941.4","5.8","13.7","5"
"15-19","2006/11/01","3127.5","189.6","168.4","21.2","2937.9","6.1","11.2","5.4"
"15-19","2006/12/01","3130.9","231.5","195.7","35.9","2899.4","7.4","15.5","6.3"
"15-19","2007/01/01","3145.4","303.9","275.7","28.2","2841.5","9.7","9.3","8.8"
"15-19","2007/02/01","3160.2","274.7","246.3","28.3","2885.5","8.7","10.3","7.8"
"15-19","2007/03/01","3174.4","189.9","172.7","17.3","2984.5","6","9.1","5.4"
"15-19","2007/04/01","3190.5","198.6","183","15.6","2991.9","6.2","7.9","5.7"
"15-19","2007/05/01","3204.8","208.8","195.9","12.9","2996","6.5","6.2","6.1"
"15-19","2007/06/01","3217.9","232.1","212.7","19.4","2985.8","7.2","8.4","6.6"
"15-19","2007/07/01","3219.1","309.4","267.5","41.9","2909.7","9.6","13.5","8.3"
"15-19","2007/08/01","3220.4","267.8","243","24.8","2952.6","8.3","9.3","7.5"
"15-19","2007/09/01","3221.6","200.4","185","15.4","3021.2","6.2","7.7","5.7"
"15-19","2007/10/01","3223.1","186.9","173.3","13.6","3036.2","5.8","7.3","5.4"
"15-19","2007/11/01","3224.3","196","179.3","16.8","3028.3","6.1","8.6","5.6"
